编号,验收项,通过标准,证据
UI-001,唯一参考图,仅使用01_唯一UI真源作为设计依据,路径与截图
UI-002,真实DOM,未使用参考图做背景或覆盖层,DOM检查
UI-003,左侧宽度,1884视口约220px且不压缩,截图+测量
UI-004,CE标识,左上CE EXPRESS标识完整清晰,截图
UI-005,首页图标,白色线性图标存在且不乱码,截图
UI-006,CCSL图标,图标存在且不为方框字符,截图
UI-007,SHOPEE图标,图标存在且不为方框字符,截图
UI-008,菜单顺序,与参考图完全一致,DOM文本清单
UI-009,无额外菜单,无扫描查询/异常规则/导出中心等额外一级项,DOM文本清单
UI-010,二级菜单,数据导入与轨迹查询二级菜单正确,截图
UI-011,底部收起菜单,位置样式与参考一致,截图
UI-012,顶栏结构,无额外整排筛选器,截图
UI-013,顶部10卡,数量和顺序完全一致,DOM计数
UI-014,指标图标,10卡均有彩色图标,截图
UI-015,迷你走势,10卡均有7天真实折线,截图
UI-016,指标文本,显示大数/昨日/占比或升降pp,截图
UI-017,CCSL概览,字段与参考一致且包含工单未处理,截图
UI-018,SHOPEE概览,PP/PV双区完整,截图
UI-019,SHOPEE排除工单,SHOPEE无工单未处理,字段检查
UI-020,PP视觉,绿色边框/标签/数字强调,截图
UI-021,PV视觉,橙色边框/标签/数字强调,截图
UI-022,趋势图数量,中部恰好4张,DOM计数
UI-023,趋势真实曲线,不是横线/圆点占位,截图
UI-024,趋势值标签,每个日期点显示百分比,截图
UI-025,趋势方向,左最早右reportDate,数组日志
UI-026,遗留表,有紧凑表格与示例/真实行,截图
UI-027,规则提醒,4条彩色规则与图标,截图
UI-028,无大面积空白,参考有内容区域不得空白,截图
UI-029,字体,Microsoft YaHei优先且中文不乱码,computedStyle
UI-030,1884×1092像素差异,结构区域差异率≤3%;整体差异率≤8%,diff报告
UI-031,1440×900响应式,无换行/重叠/横向溢出,截图
UI-032,1920×1080响应式,无换行/重叠/横向溢出,截图
UI-033,真实数据,至少使用一日非零快照验收,截图
UI-034,数据同源,页面/明细/CCSL XLSX/SHOPEE XLSX同snapshot,哈希报告
UI-035,数据库安全,升级前备份且旧数据完整,测试日志
